comment,comm_region,comm_time,video_img,video_info,comm_name,video_name,comm_favor
离了婚还演爱情剧！就算你的演技再好，我也不会看你的戏。,中国:广东:广州,Sun May 07 23:26:04 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/z/zwyy7umzhkroixx_y.jpg,全44集,金蓓游乐-Ning,外科风云,245
"《非常贴近现实的一部题材剧》
看片花，非常贴近现实生活，也是现在经常出现的热点问题，不论是患者与医者的关系，还是医闹问题，都是当前值得人关注的问题。很期待这样一部剧集，从人物角色的矛盾中，也许我们能领悟不少。看剧组，有好的演员班底，好的制作团队，花絮很燃，很带感，在一分钟的花絮带出不少剧情线冲突，可以看出伏笔不少。期待明年！这样的好剧，反映现实题材的，希望越来越多。",中国:广东:汕尾,Mon May 15 12:50:07 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/z/zwyy7umzhkroixx_y.jpg,全44集,风吹屁屁凉～,外科风云,59
靳东委屈你了，下次你的片出来我一定看，这次我真的没有什么兴趣看，因为白,中国:湖北:襄阳,Fri Apr 21 00:15:12 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/z/zwyy7umzhkroixx_y.jpg,全44集,龍魂丶郑旭『０８㊣至尊』,外科风云,40
有道德问题的演员你会支持吗？没有是非观念吗？纵容这些人挣得盆满钵满吗？不该受到谴责吗？,中国::,Thu Apr 20 22:03:33 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/z/zwyy7umzhkroixx_y.jpg,全44集,虫儿飞,外科风云,23
人家老公都没说什么，不知道你们这些外人急个啥，一个个都酸溜溜的，小白的演技没话说,中国:上海:,Sun Apr 30 00:34:24 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/z/zwyy7umzhkroixx_y.jpg,全44集,Fiona,外科风云,170
看一部戏主要看演员的演技。戏中的剧情能给人带来多少启发多少警示，至于演员的私生活关我何事，故事好，演的好，剧情好就好了[呲牙],中国:山东:济南,Tue Apr 18 21:54:55 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/z/zwyy7umzhkroixx_y.jpg,全44集,紫依石榴,外科风云,58
可惜和楚乔撞期了,中国:湖北:黄石,Fri Jun 02 23:45:27 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/5/5a3aweewodeclku_y.jpg,6.12独播,* 嫉妒ヽ.,上古情歌,1
怎么是黄晓明演滴猪脚，不喜欢,中国::,Sat Jun 03 00:13:22 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/5/5a3aweewodeclku_y.jpg,6.12独播,🍬🍭🍭,上古情歌,6
女主不喜欢[流泪],中国::,Sat Jun 03 00:02:45 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/5/5a3aweewodeclku_y.jpg,6.12独播,🍒🍒,上古情歌,5
我就想知道这是不是小说 曾许诺 桐华写的i,中国:广东:深圳,Fri Jun 02 23:45:08 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/5/5a3aweewodeclku_y.jpg,6.12独播,-,上古情歌,0
有黄晓明就完蛋,中国:江苏:苏州,Sat Jun 03 00:02:32 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/5/5a3aweewodeclku_y.jpg,6.12独播,灬/Kay,上古情歌,8
除了主角都喜欢[尴尬],中国:重庆:梁平,Fri Jun 02 23:53:42 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/5/5a3aweewodeclku_y.jpg,6.12独播,衯割.憂傷,上古情歌,5
你若年年穿我做的衣袍，我便年年来看你，玛德好甜啊，期待木青寞和赤云之间爱情国家，大爱大义的纠葛！,中国:新疆:伊犁,Sat Jun 03 00:11:16 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/5/5a3aweewodeclku_y.jpg,6.12独播,key,上古情歌,6
我来看吴倩的[调皮][调皮][调皮],中国:四川:成都,Sat Jun 03 00:06:52 2017,http://i.gtimg.cn/qqlive/img/jpgcache/files/qqvideo/5/5a3aweewodeclku_y.jpg,6.12独播,Baby燕儿,上古情歌,5
